date,bit_macd_factor,bit_rsi_factor,bit_macd_pre_factor,bit_rsi_pre_factor,bit_short_factor,gold_macd_factor,gold_rsi_factor,gold_macd_pre_factor,gold_rsi_pre_factor,gold_short_factor
2016/9/11,,0,,0,,,0,,0,
2016/9/12,,0,,0,,,0,,0,
2016/9/13,0,0,,0,,0,0,,0,
2016/9/14,0,0,,0,,0,0,,0,
2016/9/15,0,0,,0,,0,0,,0,
2016/9/16,0,0,,0,,0,0,,0,
2016/9/17,0,0,,0,,0,0,,0,
2016/9/18,0,0,,0,,0,0,,0,
2016/9/19,0,0,,0,,0,0,,0,
2016/9/20,0,0,,0,,1,0,,0,
2016/9/21,0,0,,0,,0,0,,0,
2016/9/22,0,0,,0,,0,0,,0,
2016/9/23,0,0,,0,,0,0,,0,
2016/9/24,0,0,,0,,0,0,,0,
2016/9/25,0,0,,0,,0,0,,0,
2016/9/26,0,0,,0,,-1,0,,0,
2016/9/27,0,0,,0,,0,0,,0,
2016/9/28,0,0,,0,,0,0,,0,
2016/9/29,0,0,,0,,0,0,,0,
2016/9/30,0,0,,0,,0,0,,0,
2016/10/1,0,0,,0,,0,0,,0,
2016/10/2,0,0,,0,,0,0,,0,
2016/10/3,0,0,,0,,0,0,,0,
2016/10/4,0,0,,0,,0,0,,0,
2016/10/5,0,0,,0,,0,0,,0,
2016/10/6,0,0,,0,,0,0,,0,
2016/10/7,0,0,,0,,0,0,,0,
2016/10/8,1,0,,0,,0,0,,0,
2016/10/9,0,0,,0,,0,0,,0,
2016/10/10,0,0,,0,,0,0,,0,
2016/10/11,0,0,,0,,0,0,,0,
2016/10/12,0,0,,0,,0,0,,0,
2016/10/13,0,0,,0,,0,0,,0,
2016/10/14,0,0,,0,,0,0,,0,
2016/10/15,0,0,,0,,0,0,,0,
2016/10/16,0,0,,0,,0,0,,0,
2016/10/17,0,0,,0,,0,0,,0,
2016/10/18,0,0,,0,,0,0,,0,
2016/10/19,0,0,,0,,0,0,,0,
2016/10/20,0,0,,0,,1,0,,0,
2016/10/21,0,0,,0,,0,0,,0,
2016/10/22,0,0,,0,,0,0,,0,
2016/10/23,0,0,,0,,0,0,,0,
2016/10/24,0,0,,0,,-1,0,,0,
2016/10/25,0,0,,0,,0,0,,0,
2016/10/26,0,0,,0,,0,0,,0,
2016/10/27,0,0,,0,,0,0,,0,
2016/10/28,0,0,,0,,0,0,,0,
2016/10/29,0,0,,0,,0,0,,0,
2016/10/30,0,0,,0,,0,0,,0,
2016/10/31,0,-0.334096028,,0,,0,0,,0,
2016/11/1,0,0,,0,,0,0,,0,
2016/11/2,0,-0.603593106,,0,,0,0,,0,
2016/11/3,0,0,,0,,0,0,,0,
2016/11/4,0,0,,0,,0,0,,0,
2016/11/5,0,0,,0,,0,0,,0,
2016/11/6,0,0,,0,,0,0,,0,
2016/11/7,0,0,,0,,0,0,,0,
2016/11/8,0,0,,0,,0,0,,0,
2016/11/9,0,0,,0,,0,0,,0,
2016/11/10,0,0,,0,,0,0,,0,
2016/11/11,0,0,,0,0,0,0,,0,0
2016/11/12,0,0,,0,0,0,0,,0,0
2016/11/13,0,0,,0,0,0,0,,0,1
2016/11/14,0,0,,0,0,0,0,,0,0
2016/11/15,0,0,,0,0,0,0,,0,0
2016/11/16,0,0,,0,0,0,0,,0,0
2016/11/17,0,0,,0,0,0,0,,0,0
2016/11/18,0,-0.315363676,,0,0,0,0,,0,0
2016/11/19,0,0,,0,0,0,0,,0,0
2016/11/20,0,0,,0,0,0,0,,0,0
2016/11/21,0,0,,0,0,0,0,,0,0
2016/11/22,0,0,,0,0,0,0,,0,0
2016/11/23,0,0,,0,0,0,0,,0,0
2016/11/24,0,0,,0,0,0,0,,0,0
2016/11/25,0,0,,0,0,0,0,,0,0
2016/11/26,0,0,,0,0,0,0,,0,0
2016/11/27,0,0,,0,0,0,0,,0,0
2016/11/28,0,0,,0,0,0,0,,0,0
2016/11/29,0,0,,0,0,0,0,,0,0
2016/11/30,0,0,,0,0,0,0,,0,0
2016/12/1,0,0,,0,0,0,0,,0,0
2016/12/2,0,0,,0,0,0,0,,0,0
2016/12/3,0,0,,0,0,0,0,,0,0
2016/12/4,0,0,,0,0,1,0,,0,0
2016/12/5,0,0,,0,0,0,0,,0,0
2016/12/6,0,0,,0,0,0,0,,0,0
2016/12/7,0,0,,0,0,0,0,,0,0
2016/12/8,0,0,,0,0,0,0,,0,0
2016/12/9,0,0,,0,0,0,0,,0,0
2016/12/10,0,0,,0,0,0,0,,0,0
2016/12/11,0,0,,0,0,0,0,,0,0
2016/12/12,0,0,,0,0,0,0,,0,0
2016/12/13,0,0,,0,0,0,0,,0,0
2016/12/14,0,0,,0,0,0,0,,0,0
2016/12/15,0,0,,0,0,0,0,,0,0
2016/12/16,0,0,,0,0,0,0,,0,0
2016/12/17,0,0,,0,0,0,0,,0,0
2016/12/18,0,0,,0,0,0,0,,0,0
2016/12/19,0,-0.609388261,,0,0,0,0,,0,0
2016/12/20,0,-0.629631525,,0,0,0,0,,0,0
2016/12/21,0,-0.770404897,,0,0,0,0,,0,0
2016/12/22,0,-0.770495831,,0,0,0,0,,0,0
2016/12/23,0,-0.877449887,,0,0,0,0,,0,0
2016/12/24,0,-0.690525542,,0,0,0,0,,0,0
2016/12/25,0,-0.67558437,,0,0,0,0,,0,0
2016/12/26,0,-0.685933727,,0,0,0,0,,0,0
2016/12/27,0,-0.741755725,,0,0,0,0,,0,0
2016/12/28,0,-0.795016973,,0,0,0,0,,0,0
2016/12/29,0,-0.825681314,,0,0,0,0,,0,0
2016/12/30,0,-0.676097966,,0,0,0,0,,0,0
2016/12/31,0,-0.66562925,,0,0,0,0,,0,0
2017/1/1,0,-0.721913033,,0,0,0,0,,0,0
2017/1/2,0,-0.740485295,,0,0,0,0,,0,0
2017/1/3,0,-0.706876508,,0,0,0,0,,0,-1
2017/1/4,0,-0.775820134,,0,0,0,0,,0,0
2017/1/5,0,0,,0,0,0,0,,0,0
2017/1/6,0,0,,-0.999781584,0,0,0,,0,0
2017/1/7,0,0,,-0.999785435,0,0,0,,0,0
2017/1/8,0,0,,-0.999775268,0,0,0,,0,0
2017/1/9,0,0,,-0.887225421,0,0,0,,0,0
2017/1/10,0,0,,-0.600649111,0,0,0,,0,0
2017/1/11,0,0,,-0.223657018,0,0,0,,0,0
2017/1/12,0,0,,0,0,0,0,,0,0
2017/1/13,-1,0,,0,0,-1,0,,0,0
2017/1/14,0,0,,0,0,0,0,,0,0
2017/1/15,0,0,,0,0,0,0,,0,0
2017/1/16,0,0,,0,0,0,0,,0,0
2017/1/17,0,0,,0.240470956,0,0,0,,0,0
2017/1/18,0,0,,0.373964333,0,0,0,,0,0
2017/1/19,0,0,,0.480910086,0,0,0,,0,0
2017/1/20,0,0,,0.505040394,0,1,0,,0,0
2017/1/21,0,0,,0.444114544,0,0,0,,0,0
2017/1/22,1,0,,0.290744629,0,0,0,,0,0
2017/1/23,0,0,,0,0,0,0,,0,0
2017/1/24,0,0,,0,0,0,0,,0,0
2017/1/25,0,0,,0,0,0,0,,0,0
2017/1/26,0,0,,0,0,0,0,,0,1
2017/1/27,0,0,,0,0,0,0,,0,0
2017/1/28,0,0,,0,0,0,0,,0,0
2017/1/29,0,0,,0,0,0,0,,0,0
2017/1/30,0,0,,-0.430326008,0,0,0,,0,0
2017/1/31,0,0,,-0.730882791,0,0,0,,0,0
2017/2/1,0,0,,-0.856618348,0,0,0,,0,0
2017/2/2,0,0,,-0.853718725,0,0,0,,0,-1
2017/2/3,0,-0.351188389,,-0.84467744,0,0,0,,0,0
2017/2/4,0,-0.40013476,,-0.833511555,0,0,0,,0,0
2017/2/5,0,-0.337846175,,-0.82565709,0,0,0,,0,0
2017/2/6,0,0,0,-0.823941319,0,0,0,0,0,0
2017/2/7,0,-0.309666202,0,-0.826969919,0,0,0,0,0,0
2017/2/8,0,-0.678651144,0,-0.833298959,0,0,0,0,0,0
2017/2/9,0,0,0,-0.842694134,0,0,0,0,0,0
2017/2/10,0,0,0,-0.849913729,0,0,0,0,0,0
2017/2/11,0,0,0,-0.852739301,0,0,0,,0,0
2017/2/12,0,0,0,-0.809828151,0,0,0,,0,0
2017/2/13,0,0,0,-0.69186988,0,0,0,0,0,0
2017/2/14,0,0,0,-0.54838213,0,0,0,0,0,0
2017/2/15,0,0,0,-0.384628253,0,0,0,0,0,0
2017/2/16,0,0,0,-0.243654075,0,0,0,0,0,0
2017/2/17,0,0,0,0,0,0,0,0,0,0
2017/2/18,0,0,0,0,0,0,0,,0,0
2017/2/19,0,0,0,0,0,-1,0,,0,0
2017/2/20,0,0,0,0,0,0,0,0,0,0
2017/2/21,0,0,0,0,0,0,0,0,0,0
2017/2/22,0,0,0,0,0,0,0,0,0,0
2017/2/23,0,-0.832791049,0,0,0,0,0,0,0,0
2017/2/24,0,-0.85173346,0,0,0,0,0,0,0,0
2017/2/25,0,-0.515803705,0,0,0,0,0,,0,0
2017/2/26,0,-0.505793133,0,0,0,0,0,,0,0
2017/2/27,0,-0.592991258,0,-0.396799308,0,0,0,0,0,0
2017/2/28,0,-0.554220976,0,-0.603519506,0,0,0,0,0,0
2017/3/1,0,-0.540119189,0,-0.789597829,0,0,0,0,0,0
2017/3/2,0,-0.611935729,0,-0.930941716,0,0,0,0,0,0
2017/3/3,0,-0.643411701,0,-0.999742887,0,1,0,0,0,0
2017/3/4,0,-0.620016553,0,-0.999760803,0,0,0,,0,0
2017/3/5,0,-0.503928815,0,-0.999774871,0,0,0,,0,1
2017/3/6,0,-0.527997527,0,-0.999785245,0,0,0,0,0,0
2017/3/7,0,-0.395449947,0,-0.999792195,0,0,0,0,0,0
2017/3/8,0,0,0,-0.999794096,0,0,0,0,0,0
2017/3/9,0,0,0,-0.999786046,0,0,0,0,0,0
2017/3/10,0,0,0,-0.956174455,0,0,0,0,0,0
2017/3/11,0,0,0,-0.767238998,0,0,0,,0,0
2017/3/12,0,0,0,-0.475036361,0,0,0,,0,0
2017/3/13,0,0,0,0,0,0,0,0,0,0
2017/3/14,0,0,0,0,0,0,0,0,0,0
2017/3/15,0,0,0,0,0,0,0,0,0,0
2017/3/16,0,0,0,0,0,0,0,0,0,-1
2017/3/17,0,0,0,0,0,0,0,0,0,0
2017/3/18,0,0,0,0,1,0,0,,0,0
2017/3/19,-1,0,0,0,0,0,0,,0,0
2017/3/20,0,0,0,0,-1,0,0,0,0,0
2017/3/21,0,0,0,0.382788556,0,0,0,1,1,0
2017/3/22,0,0,0,0.708789585,0,-1,0,0,0,0
2017/3/23,0,0,0,0.846125153,0,0,0,0,0,0
2017/3/24,0,0,0,0.857439846,0,0,0,0,0,0
2017/3/25,0,0,-1,0.859795029,0,0,0,,0,0
2017/3/26,0,0,0,0.858856019,0,0,0,,0,0
2017/3/27,0,0,0,0.858380359,0,0,0,0,0,0
2017/3/28,0,0,0,0.858630487,0,0,0,0,0,0
2017/3/29,0,0,0,0.859004595,0,0,0,0,0,0
2017/3/30,0,0,0,0.85920618,0,0,0,1,0,0
2017/3/31,0,0,0,0.859600544,0,0,0,0,0,0
2017/4/1,0,0,0,0.784427065,0,0,0,,0,0
2017/4/2,0,0,0,0.608024573,0,0,0,,0,0
2017/4/3,0,0,0,0.367113924,0,0,0,0,0,0
2017/4/4,0,0,0,0,0,0,0,0,0,0
2017/4/5,0,0,0,0,0,0,0,0,0,0
2017/4/6,0,0,0,0,0,0,0,0,0,0
2017/4/7,1,-0.535676076,0,0,0,0,0,0,0,0
2017/4/8,0,-0.575232208,0,0,0,0,0,,0,0
2017/4/9,0,-0.540076149,0,-0.291601679,0,0,0,,0,0
2017/4/10,0,-0.43860573,0,-0.580638334,0,0,0,0,0,0
2017/4/11,0,-0.469670445,0,-0.834263792,0,0,0,0,0,0
2017/4/12,0,-0.398779439,1,-0.983267374,0,0,0,0,0,0
2017/4/13,0,0,0,-0.999773329,0,0,0,0,0,0
2017/4/14,0,0,0,-0.99977802,0,0,0,,0,0
2017/4/15,0,0,0,-0.999773353,0,0,0,,0,0
2017/4/16,0,0,0,-0.999758374,0,1,0,,0,0
2017/4/17,0,0,0,-0.938489487,0,0,0,,0,0
2017/4/18,0,0,0,-0.837025515,0,0,0,0,0,0
2017/4/19,0,0,0,-0.709566253,0,0,0,0,0,0
2017/4/20,0,0,0,-0.589728945,0,0,0,0,0,0
2017/4/21,0,0,0,-0.527116132,0,0,0,0,0,0
2017/4/22,0,0,0,-0.472456249,0,0,0,,0,0
2017/4/23,0,0,0,-0.428915162,0,0,0,,0,0
2017/4/24,0,0,0,-0.402612112,0,0,0,0,0,0
2017/4/25,0,0,0,-0.385654338,0,0,0,0,0,0
2017/4/26,0,0,0,-0.371955917,0,0,0,0,0,0
2017/4/27,0,0,0,-0.367873322,0,0,0,0,0,0
2017/4/28,0,0,0,-0.383217343,0,0,0,0,0,0
2017/4/29,0,0,0,-0.425337235,0,0,0,,0,0
2017/4/30,0,0,0,-0.487747178,0,0,0,,0,0
2017/5/1,0,0,0,-0.616294516,0,0,0,,0,0
2017/5/2,0,-0.564897561,0,-0.765520602,0,0,0,0,0,1
2017/5/3,0,-0.472777049,0,-0.90689562,0,0,0,0,0,0
2017/5/4,0,-0.52507621,0,-0.994329351,0,0,0,0,0,0
2017/5/5,0,-0.59214326,0,-0.999759768,0,0,0,0,0,0
2017/5/6,0,-0.454361629,0,-0.999788593,0,0,0,,0,0
2017/5/7,0,-0.5012784,0,-0.999808741,0,0,0,,0,0
2017/5/8,0,-0.70958601,0,-0.999822214,0,0,0,0,0,0
2017/5/9,0,-0.691695507,0,-0.999833239,0,0,0,0,0,0
2017/5/10,0,-0.738726335,0,-0.999843453,0,0,0,0,0,0
2017/5/11,0,-0.877768996,0,-0.999854173,0,0,0,0,0,0
2017/5/12,0,-0.869784952,0,-0.999866216,0,0,0,0,0,0
2017/5/13,0,-0.560802303,0,-0.999878254,0,0,0,,0,0
2017/5/14,0,-0.5736585,0,-0.999888222,0,0,0,,0,0
2017/5/15,0,-0.507052692,0,-0.999895318,0,0,0,0,0,0
2017/5/16,0,0,0,-0.999899051,0,0,0,1,1,0
2017/5/17,0,-0.358436718,0,-0.999898979,0,0,0,0,0,-1
2017/5/18,0,0,0,-0.999895623,0,0,0,0,0,0
2017/5/19,0,-0.352150253,0,-0.999889066,0,0,0,0,0,0
2017/5/20,0,-0.47871507,0,-0.999881035,0,0,0,,0,0
2017/5/21,0,-0.31352376,0,-0.999875266,0,0,0,,0,0
2017/5/22,0,0,0,-0.999874191,0,0,0,0,0,0
2017/5/23,0,-0.429588581,0,-0.99987738,0,0,0,0,0,0
2017/5/24,0,0,0,-0.999884632,0,0,0,0,0,0
2017/5/25,0,-0.316099474,0,-0.999893139,0,0,0,0,0,0
2017/5/26,0,0,0,-0.999901125,0,0,0,0,0,0
2017/5/27,0,0,0,-0.999906578,0,0,0,,0,0
2017/5/28,0,0,0,-0.99990959,0,0,0,,0,0
2017/5/29,0,0,0,-0.999910248,0,0,0,,0,0
2017/5/30,0,0,0,-0.999909292,0,0,0,0,0,0
2017/5/31,0,0,0,-0.999907893,0,-1,-1,0,0,0
2017/6/1,0,0,0,-0.999906552,0,0,0,0,0,0
2017/6/2,0,0,0,-0.994746366,0,0,0,1,1,0
2017/6/3,0,0,0,-0.994768488,0,0,0,,0,0
2017/6/4,0,0,0,-0.994789689,0,0,0,,0,0
2017/6/5,0,0,0,-0.994800338,0,0,0,0,0,0
2017/6/6,0,0,0,-0.994778308,0,0,0,0,0,0
2017/6/7,0,0,0,-0.994770287,0,0,0,0,0,0
2017/6/8,0,0,0,-0.994750695,0,0,0,0,0,0
2017/6/9,0,0,0,-0.994643514,0,0,0,0,0,0
2017/6/10,0,0,0,-0.994526132,0,0,0,,0,0
2017/6/11,0,-0.338711045,0,-0.99447925,0,0,0,,0,0
2017/6/12,0,0,0,-0.99459397,0,0,0,0,0,0
2017/6/13,0,0,0,-0.994756681,0,0,0,0,0,0
2017/6/14,0,0,0,-0.994878172,0,0,0,0,0,0
2017/6/15,0,0,0,-0.994909706,1,0,0,0,0,0
2017/6/16,0,0,0,-0.869973408,0,0,0,0,0,0
2017/6/17,0,0,0,-0.616384178,0,0,0,,0,0
2017/6/18,0,0,0,-0.310832955,0,0,0,,0,0
2017/6/19,0,0,0,0,-1,0,0,0,0,1
2017/6/20,0,0,0,0,0,0,0,0,0,0
2017/6/21,0,0,0,0,0,0,0,0,0,0
2017/6/22,0,0,0,0,0,0,0,0,0,0
2017/6/23,0,0,0,0,0,0,0,0,0,0
2017/6/24,0,0,0,0,0,0,0,,0,0
2017/6/25,0,0,0,0,0,0,0,,0,0
2017/6/26,0,0,0,0,0,0,0,0,0,0
2017/6/27,0,0,0,0,0,0,0,0,0,0
2017/6/28,0,0,0,0,0,0,0,0,0,0
2017/6/29,0,0,0,0,0,0,0,1,1,0
2017/6/30,0,0,0,0,0,0,0,0,0,0
2017/7/1,0,0,0,0,0,0,0,,0,0
2017/7/2,0,0,0,0,0,0,0,,0,0
2017/7/3,0,0,0,0,0,0,0,0,0,0
2017/7/4,0,0,0,0,0,0,0,0,0,0
2017/7/5,0,0,0,0,0,0,0,0,0,0
2017/7/6,0,0,0,0,0,0,0,0,0,0
2017/7/7,0,0,0,0,0,0,0,0,0,0
2017/7/8,0,0,0,0,0,0,0,,0,0
2017/7/9,0,0,0,0,0,0,0,,0,0
2017/7/10,-1,0,0,0,0,1,0,0,0,0
2017/7/11,0,0,0,0,0,0,0,0,0,0
2017/7/12,0,0,0,0,0,0,0,0,0,0
2017/7/13,0,0,0,0.249027145,0,0,0,0,0,0
2017/7/14,0,0,0,0.309845475,0,0,0,0,0,0
2017/7/15,0,0,-1,0.357967845,1,0,0,,0,-1
2017/7/16,0,0,0,0.413079786,0,0,0,,0,0
2017/7/17,0,0.466015442,0,0.482122296,0,0,0,0,0,0
2017/7/18,0,0,0,0.560928785,-1,-1,0,0,0,0
2017/7/19,0,0,0,0.623343413,0,0,0,0,0,0
2017/7/20,0,0,0,0.671279438,0,0,0,0,0,0
2017/7/21,0,0,0,0.761041294,0,0,0,0,0,0
2017/7/22,0,0,0,0.731076301,0,0,0,,0,0
2017/7/23,1,0,0,0.4138387,0,0,0,,0,0
2017/7/24,0,0,0,0,0,0,0,0,0,0
2017/7/25,0,0,0,0,0,0,0,0,0,0
2017/7/26,0,0,0,0,0,0,0,0,0,0
2017/7/27,0,0,0,0,0,0,0,0,0,0
2017/7/28,0,0,0,0,0,0,0,0,0,0
2017/7/29,0,0,1,0,0,0,0,,0,0
2017/7/30,0,0,0,0,0,0,0,,0,0
2017/7/31,0,0,0,0,0,0,0,0,0,0
2017/8/1,0,0,0,-0.41432862,0,0,0,0,0,0
2017/8/2,0,0,0,-0.681520244,0,0,0,0,0,0
2017/8/3,0,0,0,-0.898674032,0,1,1,1,1,0
2017/8/4,0,0,0,-0.999931737,0,0,0,0,0,0
2017/8/5,0,0,0,-0.999929975,0,0,0,,0,0
2017/8/6,0,0,0,-0.999923998,0,0,0,,0,0
2017/8/7,0,0,0,-0.999914324,0,0,0,0,0,0
2017/8/8,0,-0.390913749,0,-0.999902201,0,0,0,0,0,0
2017/8/9,0,0,0,-0.999893941,0,0,0,0,0,0
2017/8/10,0,0,0,-0.999895196,0,0,0,0,0,0
2017/8/11,0,0,0,-0.999903894,0,0,0,0,0,0
2017/8/12,0,-0.312198915,0,-0.999915328,0,0,0,,0,0
2017/8/13,0,-0.375461051,0,-0.999926835,0,0,0,,0,0
2017/8/14,0,-0.463342862,0,-0.999936978,0,0,0,0,0,0
2017/8/15,0,-0.382197886,0,-0.999945777,0,0,0,0,0,0
2017/8/16,0,-0.559969225,0,-0.999952944,0,0,0,0,0,0
2017/8/17,0,-0.570241506,0,-0.999958559,0,0,0,0,0,0
2017/8/18,0,-0.320997885,0,-0.999962839,0,0,0,0,0,0
2017/8/19,0,0,0,-0.999965812,0,0,0,,0,0
2017/8/20,0,0,0,-0.999967269,0,0,0,,0,0
2017/8/21,0,0,0,-0.999967243,0,0,0,0,0,0
2017/8/22,0,0,0,-0.99996579,1,0,0,0,0,0
2017/8/23,0,0,0,-0.933186312,-1,0,0,0,0,0
2017/8/24,0,0,0,-0.819492246,0,0,0,0,0,0
2017/8/25,0,0,0,-0.711031266,0,0,0,0,0,0
2017/8/26,0,0,0,-0.644520557,0,0,0,,0,0
2017/8/27,0,0,0,-0.612587979,0,0,0,,0,0
2017/8/28,0,0,0,-0.580937419,0,0,0,,0,0
2017/8/29,0,0,0,-0.540892424,0,0,0,0,0,0
2017/8/30,0,0,0,-0.49004148,0,0,0,0,0,0
2017/8/31,0,0,0,-0.432689381,0,0,0,0,0,0
2017/9/1,0,-0.345065171,0,-0.372716648,0,0,0,0,0,0
2017/9/2,0,0,0,-0.337168912,0,0,0,,0,0
2017/9/3,0,0,0,-0.337331261,0,0,0,,0,0
2017/9/4,0,0,0,-0.361668207,1,0,0,0,0,0
2017/9/5,0,0,0,-0.388330785,0,0,0,0,0,0
2017/9/6,0,0,0,-0.498569925,0,0,0,0,0,0
2017/9/7,0,0,0,-0.551849132,-1,0,0,0,0,0
2017/9/8,0,0,0,-0.528428424,1,0,0,0,0,0
2017/9/9,0,0,0,-0.392351441,0,0,0,,0,0
2017/9/10,0,0,0,0,0,0,0,,0,0
2017/9/11,0,0,0,0,0,0,0,0,0,0
2017/9/12,0,0,0,0,0,0,0,0,0,0
2017/9/13,0,0,0,0,0,0,0,0,0,0
2017/9/14,-1,0,0,0,0,-1,0,0,0,0
